HourOfYear,electricity_demand
558,417.05471499169
559,447.7989184423935
560,450.0246688423935
561,450.0246688423935
562,450.0246688423935
563,450.0246688423935
564,450.0246688423935
565,450.0246688423935
566,450.0246688423935
567,450.0246688423935
568,450.0246688423935
569,450.0246688423935
570,450.0246688423935
571,450.0246688423935
572,435.4540952587698
573,433.22834485876984
574,433.22834485876984
575,417.05471499169
576,417.05471499169
577,429.40762971169
578,432.74625531169
579,432.74625531169
580,432.74625531169
581,432.74625531169
582,432.74625531169
583,463.4904587623935
584,547.0603180871616
585,571.1871424248817
586,595.4703892871617
587,618.8407684871618
588,595.4703892871617
589,445.0148219763217
590,572.1000100871618
591,618.8407684871618
592,595.4703892871617
593,592.1317636871618
594,547.0603180871616
595,465.7162091623935
596,451.1456355787698
597,448.91988517876985
598,448.91988517876985
599,432.74625531169
