HourOfYear,PeriodOfYear,Domestic_electricity
622,3,29.75070730707982
623,3,13.57707744
624,3,13.57707744
625,4,10.23845184
626,4,13.57707744
627,4,13.57707744
628,4,13.57707744
629,4,13.57707744
630,4,13.57707744
631,4,44.32128089070348
632,4,109.1583646953549
633,4,129.1901182953549
634,4,147.5525590953549
635,4,165.914999895355
636,4,147.5525590953549
637,4,98.30783149535496
638,4,129.1901182953549
639,4,165.914999895355
640,4,147.5525590953549
641,4,144.2139334953549
642,4,109.1583646953549
643,4,46.54703129070347
644,4,31.97645770707982
645,4,29.75070730707982
646,4,29.75070730707982
647,4,13.57707744
648,4,13.57707744
649,4,10.23845184
650,4,13.57707744
651,4,13.57707744
652,4,13.57707744
653,4,13.57707744
654,4,13.57707744
655,4,44.32128089070348
656,4,109.1583646953549
657,4,129.1901182953549
658,4,147.5525590953549
659,4,165.914999895355
660,4,147.5525590953549
661,4,98.30783149535496
662,4,129.1901182953549
663,4,165.914999895355
664,4,147.5525590953549
665,4,144.2139334953549
666,4,109.1583646953549
667,4,46.54703129070347
668,4,31.97645770707982
669,4,29.75070730707982
670,4,29.75070730707982
671,4,13.57707744
672,4,13.57707744
673,2,0.5564376000000002
674,2,0.5564376000000002
675,2,0.5564376000000002
676,2,0.5564376000000002
677,2,0.5564376000000002
678,2,0.5564376000000002
679,2,31.30064105070348
680,2,33.52639145070348
681,2,33.52639145070348
682,2,33.52639145070348
683,2,33.52639145070348
684,2,33.52639145070348
685,2,33.52639145070348
686,2,33.52639145070348
687,2,33.52639145070348
688,2,33.52639145070348
689,2,33.52639145070348
690,2,33.52639145070348
691,2,33.52639145070348
692,2,18.95581786707982
693,2,16.73006746707982
694,2,16.73006746707982
695,2,0.5564376000000002
696,2,0.5564376000000002
697,2,0.5564376000000002
698,2,0.5564376000000002
699,2,0.5564376000000002
700,2,0.5564376000000002
701,2,0.5564376000000002
702,2,0.5564376000000002
703,2,31.30064105070348
704,2,33.52639145070348
705,2,33.52639145070348
706,2,33.52639145070348
707,2,33.52639145070348
708,2,33.52639145070348
709,2,33.52639145070348
710,2,33.52639145070348
711,2,33.52639145070348
712,2,33.52639145070348
713,2,33.52639145070348
714,2,33.52639145070348
715,2,33.52639145070348
716,2,18.95581786707982
717,2,16.73006746707982
718,2,16.73006746707982
719,2,0.5564376000000002
720,2,0.5564376000000002
721,5,14.24480256
722,5,17.58342816
723,5,17.58342816
724,5,17.58342816
725,5,17.58342816
726,5,17.58342816
727,5,48.32763161070348
728,5,141.26387869553
729,5,168.80753989553
730,5,194.68188829553
731,5,220.5562366955301
732,5,194.68188829553
733,5,124.15342249553
734,5,168.80753989553
735,5,220.5562366955301
736,5,194.68188829553
737,5,191.34326269553
738,5,141.26387869553
739,5,50.55338201070348
740,5,35.98280842707981
741,5,33.75705802707981
742,5,33.75705802707981
743,5,17.58342816
744,5,17.58342816
745,1,0.0
746,1,0.0
747,1,0.0
748,1,0.0
749,1,0.0
750,1,0.0
751,1,14.57057358362366
752,1,14.57057358362366
753,1,14.57057358362366
754,1,14.57057358362366
755,1,14.57057358362366
756,1,14.57057358362366
757,1,14.57057358362366
758,1,14.57057358362366
759,1,14.57057358362366
760,1,14.57057358362366
761,1,14.57057358362366
762,1,14.57057358362366
763,1,14.57057358362366
764,1,0.0
765,1,0.0
766,1,0.0
767,1,0.0
768,1,0.0
769,2,0.5564376000000002
770,2,0.5564376000000002
771,2,0.5564376000000002
772,2,0.5564376000000002
773,2,0.5564376000000002
774,2,0.5564376000000002
775,2,31.30064105070348
776,2,33.52639145070348
777,2,33.52639145070348
778,2,33.52639145070348
779,2,33.52639145070348
780,2,33.52639145070348
781,2,33.52639145070348
782,2,33.52639145070348
783,2,33.52639145070348
784,2,33.52639145070348
785,2,33.52639145070348
786,2,33.52639145070348
787,2,33.52639145070348
788,2,18.95581786707982
789,2,16.73006746707982
790,2,16.73006746707982
791,2,0.5564376000000002
792,2,0.5564376000000002
793,2,0.5564376000000002
794,2,0.5564376000000002
795,2,0.5564376000000002
796,2,0.5564376000000002
797,2,0.5564376000000002
798,2,0.5564376000000002
799,2,31.30064105070348
800,2,33.52639145070348
801,2,33.52639145070348
802,2,33.52639145070348
803,2,33.52639145070348
804,2,33.52639145070348
805,2,33.52639145070348
806,2,33.52639145070348
807,2,33.52639145070348
808,2,33.52639145070348
809,2,33.52639145070348
810,2,33.52639145070348
811,2,33.52639145070348
812,2,18.95581786707982
813,2,16.73006746707982
814,2,16.73006746707982
815,2,0.5564376000000002
816,2,0.5564376000000002
817,4,10.23845184
818,4,13.57707744
819,4,13.57707744
820,4,13.57707744
821,4,13.57707744
822,4,13.57707744
823,4,44.32128089070348
824,4,109.1583646953549
825,4,129.1901182953549
826,4,147.5525590953549
827,4,165.914999895355
828,4,147.5525590953549
829,4,98.30783149535496
